date,risk_free_rate
2022-01-01,5.947938814809817e-06
2022-02-01,1.3073763831750185e-05
2022-03-01,1.742216883293679e-05
2022-04-01,3.0045155697155934e-05
2022-05-01,3.870031805486285e-05
2022-06-01,5.8692537707294434e-05
2022-07-01,8.75236346555841e-05
2022-08-01,0.00010302158282526896
2022-09-01,0.00012230963135562156
2022-10-01,0.00014495008632153805
2022-11-01,0.0001613700890652492
2022-12-01,0.00016517901630885845
2023-01-01,0.00017620436064391676
2023-02-01,0.0001803784206118042
2023-03-01,0.00018189517720434978
2023-04-01,0.0001906053415035025
2023-05-01,0.000198919025429678
2023-06-01,0.0001996739554988025
2023-07-01,0.0002030693720416199
2023-08-01,0.0002049544651852031
2023-09-01,0.00020570825281929217
2023-10-01,0.00020646189789252922
2023-11-01,0.00020382351631442752
2023-12-01,0.00020269224637736727
2024-01-01,0.0002019378879589695
2024-02-01,0.00020269224637736727
2024-03-01,0.00020269224637736727
2024-04-01,0.00020269224637736727
2024-05-01,0.0002030693720416199
2024-06-01,0.00020269224637736727
2024-07-01,0.00020118338670926939
2024-08-01,0.00019552006910883435
2024-09-01,0.00018303236589400917
2024-10-01,0.00017506522140675607
2024-11-01,0.00017164584848816666
2024-12-01,0.00016594036504535836
2025-01-01,0.00016365588229105832
2025-02-01,0.00016403672038101114
2025-03-01,0.00016327500779889093
2025-04-01,0.00016365588229105832
2025-05-01,0.00016517901630885845
2025-06-01,0.00016441752207607685
