Date,SPY
2022-01-04,-0.00033481131106227746
2022-01-05,-0.019202143295109386
2022-01-06,-0.0009394483519827856
2022-01-07,-0.0039535475980820856
2022-01-10,-0.0012443449580250565
2022-01-11,0.009108266301571577
2022-01-12,0.0027035278819493858
2022-01-13,-0.013778602926198591
2022-01-14,0.00040908488870528004
2022-01-18,-0.017709707982853096
2022-01-19,-0.010383497658017493
2022-01-20,-0.011068045672766091
2022-01-21,-0.01963066267389535
2022-01-24,0.004246767957852615
2022-01-25,-0.012208942542441759
2022-01-26,-0.0025088557513525123
2022-01-27,-0.00493780811800526
2022-01-28,0.02483528452356265
2022-01-31,0.01801113172326274
2022-02-01,0.0067568391365773195
2022-02-02,0.009714087253698933
2022-02-03,-0.02350505103499434
2022-02-04,0.004702288251577036
2022-02-07,-0.0032092655621855926
2022-02-08,0.008227798077478976
2022-02-09,0.01463608056424448
2022-02-10,-0.01796560631073063
2022-02-11,-0.019718638267528732
2022-02-14,-0.0032694492428784194
2022-02-15,0.016127008742818694
2022-02-16,0.0011206930708234086
2022-02-17,-0.02136141537827685
2022-02-18,-0.006475049360498919
2022-02-22,-0.010731619749212107
2022-02-23,-0.017738794174204986
2022-02-24,0.015049195946456484
2022-02-25,0.022064041533652823
2022-02-28,-0.002558427866484525
2022-03-01,-0.015230295169666341
2022-03-02,0.01839630147687421
2022-03-03,-0.004978668396305008
2022-03-04,-0.008124614030401656
2022-03-07,-0.029479105383615423
2022-03-08,-0.0075818517082377745
2022-03-09,0.0268109613752614
2022-03-10,-0.004515632617869025
2022-03-11,-0.012715012398435754
2022-03-14,-0.007308370804668396
2022-03-15,0.02199052465199025
2022-03-16,0.022174389837896546
2022-03-17,0.012510793546390842
2022-03-18,0.01095262036765865
2022-03-21,-0.00029229448291467897
2022-03-22,0.011701386455187812
2022-03-23,-0.012878382872979932
2022-03-24,0.015074306888414712
2022-03-25,0.004883562925980689
2022-03-28,0.0071131743026873195
2022-03-29,0.012370744400166167
2022-03-30,-0.006174710659387128
2022-03-31,-0.015391405782463008
2022-04-01,0.0028342394076958932
2022-04-04,0.008566663049270229
2022-04-05,-0.012631637752897884
2022-04-06,-0.009999194551081336
2022-04-07,0.005038921691670639
2022-04-08,-0.002673932069697793
2022-04-11,-0.017092341370682607
2022-04-12,-0.003705151636438364
2022-04-13,0.011453606538430527
2022-04-14,-0.012451839599265102
2022-04-18,0.0004112516103094155
2022-04-19,0.016142547365398885
2022-04-20,-0.0007414152869082979
2022-04-21,-0.014953644421391799
2022-04-22,-0.027439126102623
2022-04-25,0.005797565739972921
2022-04-26,-0.028960816064447892
2022-04-27,0.0028118628070410434
2022-04-28,0.025259410345267908
2022-04-29,-0.036955525769973074
2022-05-02,0.0060193494724860575
2022-05-03,0.00458398201003285
2022-05-04,0.030452869589794096
2022-05-05,-0.03554279654561654
2022-05-06,-0.005968910936890559
2022-05-09,-0.03201726278960326
2022-05-10,0.0023103404158018037
2022-05-11,-0.015885901514814615
2022-05-12,-0.0010439284539753846
2022-05-13,0.02390796656720462
2022-05-16,-0.004057875857417792
2022-05-17,0.020570351760400563
2022-05-18,-0.04031124719737178
2022-05-19,-0.00612469920218961
2022-05-20,0.00043650290882868426
2022-05-23,0.01871013857680892
2022-05-24,-0.007633807964168571
2022-05-25,0.008834922906628906
2022-05-26,0.01998138896759949
2022-05-27,0.024549142982887018
2022-05-31,-0.005611073919749687
2022-06-01,-0.008088576902545275
2022-06-02,0.01904359331725347
2022-06-03,-0.016411662305521157
2022-06-06,0.0030448377657408265
2022-06-07,0.00959222818130745
2022-06-08,-0.0108722030958891
2022-06-09,-0.02378276853561123
2022-06-10,-0.028995556045557702
2022-06-13,-0.03796822215254336
2022-06-14,-0.003013275467528831
2022-06-15,0.014256135026392336
2022-06-16,-0.033096085379241025
2022-06-17,0.002155803439080728
2022-06-21,0.02517361111111116
2022-06-22,-0.0018130118833946662
2022-06-23,0.009802654172865966
2022-06-24,0.031793795723258134
2022-06-27,-0.0038195396488247546
2022-06-28,-0.020432896076901352
2022-06-29,-0.000814418758801061
2022-06-30,-0.00812420331454633
2022-07-01,0.010576429637332296
2022-07-05,0.0018884885551879727
2022-07-06,0.003377383087475261
2022-07-07,0.014977162212101547
2022-07-08,-0.0008227424311134657
2022-07-11,-0.011423507110076336
2022-07-12,-0.008848949558087016
2022-07-13,-0.005251756473079183
2022-07-14,-0.0024282663313098807
2022-07-15,0.019105215348847793
2022-07-18,-0.008257051928788117
2022-07-19,0.027019017177133176
2022-07-20,0.006373326642568733
2022-07-21,0.01018294505115147
2022-07-22,-0.009278013272349672
2022-07-25,0.0012150193346520677
2022-07-26,-0.011830935396284437
2022-07-27,0.025966240832210108
2022-07-28,0.01254246064894371
2022-07-29,0.01457875985229351
2022-08-01,-0.0029613281428424454
2022-08-02,-0.006597354996208282
2022-08-03,0.015659406943103527
2022-08-04,-0.0006755508297643376
2022-08-05,-0.0016901340882763405
2022-08-08,-0.0011608539769837334
2022-08-09,-0.003971027727110332
2022-08-10,0.021004066279480815
2022-08-11,0.0
2022-08-12,0.016928917696497292
2022-08-15,0.004120752442701159
2022-08-16,0.001958703948442997
2022-08-17,-0.0070979722016651925
2022-08-18,0.0029064434771226555
2022-08-19,-0.013438096855382775
2022-08-22,-0.02082239145905862
2022-08-23,-0.0024192888018110814
2022-08-24,0.0032011348179299404
2022-08-25,0.014117484056944685
2022-08-26,-0.033848912459531144
2022-08-29,-0.006612381176840265
2022-08-30,-0.010977766329973049
2022-08-31,-0.007609056087312882
