Date,HDG
2022-01-04,0.0015476583816913525
2022-01-05,-0.010044354866550864
2022-01-06,0.0005853038847973835
2022-01-07,-0.00019501418594469744
2022-01-10,-0.006046294664405649
2022-01-11,0.00824153775483305
2022-01-12,0.001167727018347664
2022-01-13,-0.0031102797926674253
2022-01-14,-0.00039002837188928385
2022-01-18,-0.012095191730118304
2022-01-19,-0.002567060516260211
2022-01-20,-0.005939447392261044
2022-01-21,-0.007767465435598364
2022-01-24,0.0038136041825753697
2022-01-25,-0.005598648937293116
2022-01-26,-0.00422285755693419
2022-01-27,-0.007067914866072389
2022-01-28,0.00325412340275677
2022-01-31,0.011554875505648932
2022-02-01,0.004208387655440626
2022-02-02,-0.0029933464232795304
2022-02-03,-0.004003249921131324
2022-02-04,0.0042202280095875455
2022-02-07,0.0028016894146412064
2022-02-08,-0.0005986195172026365
2022-02-09,0.008386440039323206
2022-02-10,-0.006138568031248348
2022-02-11,-0.003984905077869971
2022-02-14,-0.002200345882665933
2022-02-15,0.00821974585558749
2022-02-16,0.0031814855952525534
2022-02-17,-0.007333904383412193
2022-02-18,-0.0023961612949944255
2022-02-22,-0.007205916413865476
2022-02-23,-0.005846714368758721
2022-02-24,0.005070047046435766
2022-02-25,0.0070619579566724155
2022-02-28,-0.0014023207287970907
2022-03-01,-0.008427157679191222
2022-03-02,0.0036422854649538206
2022-03-03,-0.006653192405262964
2022-03-04,-0.008321513106068879
2022-03-07,-0.01125659498656395
2022-03-08,0.0016558539159319263
2022-03-09,0.015912385335758117
2022-03-10,-0.004475160786194365
2022-03-11,-0.006334239749399062
2022-03-14,-0.008225473600629751
2022-03-15,0.004146760398377802
2022-03-16,0.01858370433943035
2022-03-17,0.004459569563235455
2022-03-18,0.006861897548748219
2022-03-21,-0.009621065019564501
2022-03-22,0.009714529136016559
2022-03-23,-0.007416308781176495
2022-03-24,0.000807864817902626
2022-03-25,0.001412307725080053
2022-03-28,0.0016118135565696967
2022-03-29,0.011265458305312448
2022-03-30,-0.007758029515073095
2022-03-31,-0.004811538225655498
2022-04-01,0.003021604130421629
2022-04-04,0.007832904711137623
2022-04-05,-0.013750286592000394
2022-04-06,-0.005253673792335323
2022-04-07,-0.00020313481084777152
2022-04-08,-0.0014223170264682228
2022-04-11,-0.00671419155623354
2022-04-12,0.00040985190673081817
2022-04-13,0.008804206111729496
2022-04-14,-0.005277048861419775
2022-04-18,-0.00244847524725611
2022-04-19,0.00552252747257409
2022-04-20,-0.0028477681012770706
2022-04-21,-0.006936001938641412
2022-04-22,-0.0078061656977478355
2022-04-25,-0.0026915998643098904
2022-04-26,-0.013078420476783759
2022-04-27,0.0012618740573977494
2022-04-28,0.008613554289169212
2022-04-29,-0.004998949425872312
2022-05-02,-0.0010465423339338642
2022-05-03,0.00209562586441292
2022-05-04,0.007528215488812551
2022-05-05,-0.011830762103672177
2022-05-06,-0.003990888893370403
2022-05-09,-0.011387623865171004
2022-05-10,0.00021349491801414544
2022-05-11,-0.009596976961564474
2022-05-12,-0.002368635807186159
2022-05-13,0.01251893733291487
2022-05-16,0.0051161699838662145
2022-05-17,0.00975606401985063
2022-05-18,-0.012392411042873586
2022-05-19,0.0010635005565897693
2022-05-20,-0.002124476541130682
2022-05-23,0.005109634318067435
2022-05-24,0.0016944355058456928
2022-05-25,0.005286615341845824
2022-05-26,0.005048370527420243
2022-05-27,0.006069335701333944
2022-05-31,-0.0014562575409013956
2022-06-01,-0.002916416271663169
2022-06-02,0.006268226638204588
2022-06-03,-0.005813971050280253
2022-06-06,0.0033415364887050547
2022-06-07,0.0031225006584159054
2022-06-08,-0.003527559712523609
2022-06-09,-0.009787648221472156
2022-06-10,-0.00799158682801182
2022-06-13,-0.015263997357942483
2022-06-14,0.00021529230359540463
2022-06-15,0.0051658136449479475
2022-06-16,-0.015417617471810474
2022-06-17,0.00826446206284226
2022-06-21,0.0036668949585214605
2022-06-22,-0.0010746107707084729
2022-06-23,0.0019363802423399967
2022-06-24,0.010521872036592939
2022-06-27,0.00021250163174046932
2022-06-28,-0.008073169801297575
2022-06-29,-0.0059970199174842476
2022-06-30,0.0010773893325022321
2022-07-01,0.0025827726292302344
2022-07-05,-0.003649576417133149
2022-07-06,-0.004309467771460906
2022-07-07,0.008006917939682223
2022-07-08,0.0004295613905154205
2022-07-11,-0.008369282726434779
2022-07-12,-0.00043264106864682184
2022-07-13,0.00021650414907803395
2022-07-14,-0.004978427593463675
2022-07-15,0.004133084750298721
2022-07-18,0.0
2022-07-19,0.01581462617682483
2022-07-20,0.0025590874863103963
2022-07-21,-0.0002127276754196883
2022-07-22,-0.0008510033181435839
2022-07-25,0.0002130426724384904
2022-07-26,-0.004045355769638381
2022-07-27,0.008123307736773722
2022-07-28,0.0016964083084169967
2022-07-29,0.0033868947918420655
2022-08-01,-0.0006329320934365112
2022-08-02,-0.0006332452066356575
2022-08-03,0.004647208970403938
2022-08-04,0.0004205351913322275
2022-08-05,0.0
2022-08-08,0.002311971287039194
2022-08-09,-0.0035646304985950117
2022-08-10,0.008417344969885221
2022-08-11,-0.0008347518361027095
2022-08-12,0.007309833516948805
2022-08-15,-0.0008293003722845693
2022-08-16,-0.00020734623215501458
2022-08-17,-0.0047739207176150655
2022-08-18,-0.0004172881781410176
2022-08-19,-0.005841524897980177
2022-08-22,-0.005876284954854261
2022-08-23,0.002111109833955016
2022-08-24,0.002949152296021218
2022-08-25,0.0018902464522740914
2022-08-26,-0.007337331563997074
2022-08-29,-0.001900801243816086
2022-08-30,-0.005501573209840571
