date,return
2023-03-31,0.000845176372134738
2023-04-03,0.0023936810366380476
2023-04-04,-0.00750392295440588
2023-04-05,0.0027040157345091004
2023-04-06,-0.0029142686092185456
2023-04-10,0.006509576089760148
2023-04-11,0.007401641792285674
2023-04-12,-0.004697261328478234
2023-04-13,0.0012637476851327849
2023-04-14,0.00401791704172104
2023-04-17,-0.0004214796830128241
2023-04-18,0.0081264945371839
2023-04-19,-0.006772596545303096
2023-04-20,0.0043466857103181804
2023-04-21,-0.005904332605713335
2023-04-24,0.007671924747021622
2023-04-25,-0.01708697257743844
2023-04-26,-0.004584103696434441
2023-04-27,0.024730082188129606
2023-04-28,0.013976830737573461
2023-05-01,-0.003818503764740517
2023-05-02,-0.021137407804169332
2023-05-03,-0.013998044941495848
2023-05-04,-0.019035106206908882
2023-05-05,0.017048396531805798
2023-05-08,0.004069225582630563
2023-05-09,-0.00152321089550875
2023-05-10,-0.0064083847000888025
2023-05-11,-0.0029032566736346735
2023-05-12,-0.0015985616111781678
2023-05-15,0.01018615320049934
2023-05-16,-0.013649232523205702
2023-05-17,0.015768337115099947
2023-05-18,0.01126480199212684
2023-05-19,-0.0014270863716887388
2023-05-22,-0.0068535309606728234
2023-05-23,-0.009604330678675417
2023-05-24,0.0009368734430655608
2023-05-25,0.0016193343383505948
2023-05-26,0.008316800357924991
2023-05-30,-0.007168375177777839
2023-05-31,-0.011849193659785253
2023-06-01,0.012236450367441688
2023-06-02,0.024583826224772586
2023-06-05,-0.005945872537540282
2023-06-06,0.01280615370500679
2023-06-07,0.006974334979790791
2023-06-08,-0.004970925084677962
2023-06-09,0.00024455636149179786
2023-06-12,0.00658300415674664
2023-06-13,0.009971582637724198
2023-06-14,-0.010002386760709359
2023-06-15,0.014352913208505902
2023-06-16,-0.0033122864409919823
2023-06-20,-0.005535843344363815
2023-06-21,0.0027748161572585684
2023-06-22,-0.0024109834150842025
2023-06-23,-0.0006430050041376066
2023-06-26,0.0036929672168160765
2023-06-27,0.019241440779384514
2023-06-28,0.001319997187212768
2023-06-29,0.0007538483085212094
2023-06-30,0.004955353612642282
2023-07-03,0.002527737036723746
2023-07-05,-0.00727033760761616
2023-07-06,-0.014370778043048002
2023-07-07,0.010641096990447641
2023-07-10,0.007497752603332395
2023-07-11,0.01268743104935896
2023-07-12,0.012359937957920748
2023-07-13,0.005192163256752107
2023-07-14,-0.0030458510419039534
2023-07-17,-0.006649290388564016
2023-07-18,0.0014364378294158503
2023-07-19,0.0058306123571845656
2023-07-20,-0.0019181380288511513
2023-07-21,0.002931559237745451
2023-07-24,0.002513852984800459
2023-07-25,0.005571106745426768
2023-07-26,0.010472138905524791
2023-07-27,0.01414465101062534
2023-07-28,0.0030755841379106865
2023-07-31,0.0019626871598412187
2023-08-01,0.004070044391409929
2023-08-02,-0.001055373249701131
2023-08-03,-0.011923603122159674
2023-08-04,0.023273068513546963
2023-08-07,0.003333370694872946
2023-08-08,-0.002177571958413771
2023-08-09,-0.001538083946663012
2023-08-10,0.015120711227103206
2023-08-11,-0.004422207658587489
2023-08-14,-0.004048903528925505
2023-08-15,0.005863184378616378
2023-08-16,-0.0075462530411407654
2023-08-17,-0.0188695935365596
2023-08-18,0.0032020590198708035
2023-08-21,-0.004875669515916525
2023-08-22,0.005765162574147981
2023-08-23,0.017014476945335325
2023-08-24,0.0045682121679048926
2023-08-25,-0.0077936588257747135
2023-08-28,-0.007343334136828735
2023-08-29,-0.019090314819605422
2023-08-30,0.013375524341043369
2023-08-31,-0.0017156353698334348
2023-09-01,-0.013189505026975122
2023-09-05,0.007195966362707607
2023-09-06,0.01577195963146241
2023-09-07,0.005987999801500775
2023-09-08,-0.008370877024101837
2023-09-11,0.035216439805866535
2023-09-12,-0.03361315886962611
2023-09-13,0.034768963355835424
2023-09-14,-0.05200951956934771
2023-09-15,0.0542323161481295
2023-09-18,0.0007567746112008728
2023-09-19,0.015994334307736762
2023-09-20,0.036184123051605926
2023-09-21,0.04180031424197687
2023-09-22,0.0053704037298297844
2023-09-25,-0.04499144112482463
2023-09-26,0.03203879528014478
2023-09-27,-0.054836637265332125
2023-09-28,-0.025125281551274317
2023-09-29,0.03133546990976382
2023-10-02,0.055955029053811604
2023-10-03,0.010527674323280984
2023-10-04,0.05544200552467348
2023-10-05,0.0024971996651130084
2023-10-06,-0.033781717398074305
2023-10-09,-0.07750349237082352
2023-10-10,-0.003971123893404569
2023-10-11,-0.004723568469719835
2023-10-12,0.011320343789933901
2023-10-13,-0.04569152012416223
2023-10-16,-0.023655890870232375
2023-10-17,-0.029096801580264196
2023-10-18,0.005060218144628784
2023-10-19,0.027230726288823563
2023-10-20,0.061859430513355525
2023-10-23,0.05915139748585178
2023-10-24,-0.013600231928329777
2023-10-25,0.018545472174004565
2023-10-26,-0.0009729481613851993
2023-10-27,0.030658984636460287
2023-10-30,-0.009337298313027279
2023-10-31,-0.018499595953282863
2023-11-01,0.005452243758369329
2023-11-02,-0.07309841792102782
2023-11-03,0.022465727599994264
2023-11-06,0.031034962043588937
2023-11-07,0.07500465958043395
2023-11-08,0.025766785242298147
2023-11-09,0.011310325036754847
2023-11-10,-0.0220034001144764
2023-11-13,-0.0036882043508004608
2023-11-14,-0.03865654302932306
2023-11-15,-0.009886413416756192
2023-11-16,0.06509033745248358
2023-11-17,-0.0313760079650903
2023-11-20,-0.010708323678510184
2023-11-21,0.006452624586961205
2023-11-22,0.002385553838672557
2023-11-24,-0.004030812935144655
2023-11-27,-0.0035809121801856423
2023-11-28,0.005475074834351212
