Date,masHedgeFund
2022-04-01,0.0114544588805916
2022-04-04,-0.005534821542374
2022-04-05,0.0049282412902804
2022-04-06,0.0029877432974569
2022-04-07,0.0038145612359492
2022-04-08,0.0078985284125183
2022-04-11,-0.0097785007946978
2022-04-12,0.0063497064130455
2022-04-13,0.0066276986488627
2022-04-14,0.0047481460926865
2022-04-18,0.0060451364077991
2022-04-19,-0.00287481553741
2022-04-20,0.0115650880888407
2022-04-21,-0.003350747048823
2022-04-22,-0.0254069576008399
2022-04-25,-0.0074802682121523
2022-04-26,0.0041502455088497
2022-04-27,0.0038007097013483
2022-04-28,-0.0024755382962056
2022-04-29,0.0045470314179596
2022-05-02,-0.0036235823913163
2022-05-03,0.0075115784503096
2022-05-04,0.0050211255973617
2022-05-05,0.0046649993126297
2022-05-06,0.014741910811868
2022-05-09,0.007812865608344
2022-05-10,0.0009147329671461
2022-05-11,0.0172372107313749
2022-05-12,-0.0027455599333582
2022-05-13,-0.0133340271276588
2022-05-16,0.0224396751363122
2022-05-17,-0.0158000229688749
2022-05-18,0.0198438980277222
2022-05-19,-0.0036675561323559
2022-05-20,-0.0006244227634241
2022-05-23,-0.0035147281649113
2022-05-24,0.0127033042741071
2022-05-25,-0.0111436376927193
2022-05-26,-0.0162690712591385
2022-05-27,-0.0068467515799927
2022-05-31,-0.0086089824113756
2022-06-01,-0.0069992925199039
2022-06-02,-0.0016658409437754
2022-06-03,-0.0024629408303954
2022-06-06,0.0025561102383984
2022-06-07,0.0115691218265678
2022-06-08,-0.0121247890235824
2022-06-09,-0.0158653396015058
2022-06-10,-0.0265326121701885
2022-06-13,-0.0321792951960746
2022-06-14,0.003997980640704
2022-06-15,-0.0053100096147632
2022-06-16,-0.0180996981599343
2022-06-17,-0.0112675724615532
2022-06-21,0.0076115006667547
2022-06-22,-0.0086406783835886
2022-06-23,-0.0134822652587937
2022-06-24,0.0016768311515207
2022-06-27,0.0077386981228622
2022-06-28,0.0077421558992383
2022-06-29,-0.0051582239668123
2022-06-30,-0.0021939998178021
2022-07-01,-0.0005819937297565
2022-07-05,-0.0078636181299457
2022-07-06,0.0060033263591563
2022-07-07,0.0121662703658973
2022-07-08,-0.0025067217585533
2022-07-11,0.001553024305726
2022-07-12,-0.0122603953955533
2022-07-13,0.0017523372089984
2022-07-14,-0.0097098495588449
2022-07-15,0.0099162062913609
2022-07-18,-0.0080788179353674
2022-07-19,0.0166968515540384
2022-07-20,-0.0043483914917229
2022-07-21,0.0047978586338335
2022-07-22,-0.007496503159873
2022-07-25,0.0124921412156457
2022-07-26,-0.0096237964282781
2022-07-27,0.0119281614644402
2022-07-28,0.0002100979929708
2022-07-29,0.0104390766361834
2022-08-01,-0.0036682520381002
2022-08-02,0.0005950677910839
2022-08-03,-0.0006545716652116
2022-08-04,-0.0064714082664115
2022-08-05,0.0040663021362508
2022-08-08,0.0048733155706837
2022-08-09,-0.0031152499892516
2022-08-10,0.0103192073978695
2022-08-11,0.0023500921430181
2022-08-12,0.0098629821282916
2022-08-15,-0.0016416983015637
2022-08-16,-0.000395691919533
2022-08-17,-0.0061250025262209
2022-08-18,0.0014260653367412
2022-08-19,-0.0041087722299235
2022-08-22,-0.0082875124848474
2022-08-23,0.0046614437385101
2022-08-24,0.0062425822670351
2022-08-25,0.0147812421834845
2022-08-26,-0.0150338780325406
2022-08-29,-0.0086491289054833
2022-08-30,-0.0148703066765426
2022-08-31,-0.004256361916981
2022-09-01,-0.0044662464260639
2022-09-02,0.004874890978856
2022-09-06,-0.0084797454305433
2022-09-07,0.0009585133298066
2022-09-08,0.0040734062258438
2022-09-09,0.0078487766703141
2022-09-12,0.0013079575990426
2022-09-13,-0.0166427533345994
2022-09-14,0.0098103434009209
2022-09-15,-0.0069440541589244
2022-09-16,-0.0039308396778606
2022-09-19,0.0105490921625279
2022-09-20,-0.0046649892942906
2022-09-21,-0.0066556727367916
2022-09-22,-0.0044657219571961
2022-09-23,-0.0280659374039921
2022-09-26,-0.0159789501027116
2022-09-27,0.0058532708753402
2022-09-28,0.0238288244739466
2022-09-29,-0.0061110562546706
2022-09-30,-0.0044494263307482
2022-10-03,0.0245832988380345
2022-10-04,0.0225130247873555
2022-10-05,0.0006268758221332
2022-10-06,0.0092969754539118
2022-10-07,-0.0039548610502432
2022-10-10,-0.0091900989868756
2022-10-11,-0.0067062537171502
2022-10-12,0.0008950041044974
2022-10-13,0.021047197629082
2022-10-14,-0.0298577742231703
2022-10-17,0.0055793055139947
2022-10-18,0.0078145854317333
2022-10-19,0.0006456153878715
2022-10-20,0.002050177814528
2022-10-21,0.0203281666034558
2022-10-24,-0.0005919291264977
2022-10-25,0.0112572624957913
2022-10-26,0.004746432420412
2022-10-27,0.0003154017050521
2022-10-28,0.0113289804085061
2022-10-31,0.0006773912427699
2022-11-01,0.0076726811625988
2022-11-02,-0.0159559065662844
2022-11-03,0.0100533845498997
2022-11-04,0.0133807871349642
2022-11-07,0.0048013195229803
2022-11-08,0.0020519631982964
2022-11-09,-0.0195136219343899
2022-11-10,0.0324682920925123
2022-11-11,0.0043227821714
2022-11-14,-0.0052963533627021
2022-11-15,0.0041054137497349
2022-11-16,-0.0030611052343688
2022-11-17,-5.780931103593901e-05
2022-11-18,-0.0016435242199733
2022-11-21,0.0002284476523999
2022-11-22,0.0121116753012486
2022-11-23,0.0002735020818749
2022-11-25,0.0011453203362774
2022-11-28,-0.0083847639961845
2022-11-29,0.0039282178413839
2022-11-30,0.0099033588595636
2022-12-01,-0.0020321633379712
2022-12-02,0.0015970647294845
